location_id,Name,long_deg,lon_min,lon_sec,lat_deg,lat_min,lat_sec,longitude,latitude,p_1880,p_1890,p_1900,p_1910,G_1880,S_1880,G_1890,S_1890,D_1900,S_1900,G_1910,S_1910,prob,places,
1070,Hausdorf,14,30,51,46,43,1,14.5142,46.7169,33,34,35,61,26,7,14,20,35,0,48,13,0.7878787879,Riegersdorf,#DIV/0!
1071,St. Johann am Brückl,14,32,8,46,45,9,14.5356,46.7525,1943,1953,1963,1973,59,4,44,0,62,0,72,9,0.0303654143,Seltschach,#DIV/0!
1072,Johannserberg,14,32,56,46,44,31,14.5489,46.7419,151,143,134,151,135,16,143,0,134,0,151,0,0.8940397351,Ober-Thörl,#DIV/0!
1073,Krabathen,14,29,7,46,41,29,14.4853,46.6914,53,62,54,52,9,44,0,62,47,7,13,39,0.1698113208,Unter-Thörl,#DIV/0!
1074,Ober-Krähwald,14,30,1,46,43,51,14.5003,46.7308,36,38,31,25,27,9,38,0,31,0,16,9,0.75,Tschau,#DIV/0!
1075,Unter-Krähwald,14,30,38,46,43,39,14.5106,46.7275,98,97,69,65,47,51,72,25,69,0,65,0,0.4795918367,Bach,#N/A
1076,Krainberg,14,30,2,46,45,22,14.5006,46.7561,76,63,41,62,76,0,62,1,41,0,62,0,1,Dellach,#DIV/0!
1077,Labegg,14,31,55,46,45,44,14.5319,46.7622,113,82,62,87,113,0,82,0,62,0,87,0,1,Emersdorf,#DIV/0!
1078,Michaelerberg,14,34,12,46,43,56,14.57,46.7322,112,92,85,90,23,89,25,67,75,10,78,12,0.2053571429,Förk,#DIV/0!
1079,Oechsendorf,14,28,15,46,41,21,14.4708,46.6892,77,88,76,69,11,66,19,69,76,0,24,45,0.1428571429,St. Georgen (vorm Bleiberg) (St. Georgen im Gailtal),0.1304347826
1080,Pirkach,14,30,25,46,44,33,14.5069,46.7425,91,90,83,69,68,23,90,0,83,0,69,0,0.7472527473,Glabatschach,#DIV/0!
1081,Salchendorf,14,31,3,46,43,25,14.5175,46.7236,43,51,47,66,39,4,51,0,47,0,66,0,0.9069767442,Hermsberg,#DIV/0!
1082,Schmieddorf,14,32,20,46,44,42,14.5389,46.745,67,38,61,35,50,17,35,3,61,0,35,0,0.7462686567,Kerschdorf,#DIV/0!
1083,Selessen,14,30,9,46,45,8,14.5025,46.7522,86,74,64,52,72,14,74,0,64,0,52,0,0.8372093023,Kreiblach (Kreublach),#DIV/0!
1084,Tschutta,14,31,0,46,43,58,14.5167,46.7328,79,52,53,69,75,4,48,4,53,0,69,0,0.9493670886,Kühweg,#DIV/0!
1085,St. Ulrich am Johannserberg,14,34,26,46,45,4,14.5739,46.7511,348,313,302,294,214,134,283,30,296,6,293,1,0.6149425287,Labientschach,#DIV/0!
1086,Gemeinde Klein St. Paul,,,,,,,,,1041,937,1026,1250,1041,0,937,0,1026,0,1250,0,1,Michelhofen,#DIV/0!
